Title:               Reserves of Depository Institutions, Nonborrowed
Series ID:           NONBORRES
Source:              Board of Governors of the Federal Reserve System (US)
Release:             H.3 Aggregate Reserves of Depository Institutions and the Monetary Base
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Millions of Dollars
Date Range:          1959-01-01 to 2017-09-01
Last Updated:        2017-10-12 3:41 PM CDT
Notes:               Equals total reserves (https://fred.stlouisfed.org/series/TOTRESNS)
                     less total borrowings from the Federal Reserve
                     (https://fred.stlouisfed.org/series/BORROW).

DATE          VALUE
1959-01-01    18338
1959-02-01    18065
1959-03-01    17832
1959-04-01    17986
1959-05-01    17811
1959-06-01    17525
1959-07-01    17721
1959-08-01    17601
1959-09-01    17696
1959-10-01    17700
1959-11-01    17763
1959-12-01    18015
1960-01-01    17960
1960-02-01    17403
1960-03-01    17391
1960-04-01    17518
1960-05-01    17719
1960-06-01    17873
1960-07-01    18135
1960-08-01    18204
1960-09-01    18345
1960-10-01    18595
1960-11-01    18851
1960-12-01    19188
1961-01-01    19272
1961-02-01    18828
1961-03-01    18741
1961-04-01    18827
1961-05-01    18763
1961-06-01    18958
1961-07-01    19048
1961-08-01    19130
1961-09-01    19323
1961-10-01    19617
1961-11-01    19710
1961-12-01    19998
1962-01-01    20009
1962-02-01    19503
1962-03-01    19460
1962-04-01    19644
1962-05-01    19768
1962-06-01    19821
1962-07-01    19962
1962-08-01    19759
1962-09-01    19986
1962-10-01    20136
1962-11-01    19449
1962-12-01    19794
1963-01-01    19896
1963-02-01    19403
1963-03-01    19374
1963-04-01    19478
1963-05-01    19439
1963-06-01    19511
1963-07-01    19690
1963-08-01    19376
1963-09-01    19649
1963-10-01    19669
1963-11-01    19798
1963-12-01    20369
1964-01-01    20405
1964-02-01    19864
1964-03-01    19964
1964-04-01    20043
1964-05-01    19982
1964-06-01    20277
1964-07-01    20376
1964-08-01    20264
1964-09-01    20580
1964-10-01    20702
1964-11-01    20781
1964-12-01    21332
1965-01-01    21332
1965-02-01    20796
1965-03-01    20852
1965-04-01    21025
1965-05-01    20981
1965-06-01    21183
1965-07-01    21345
1965-08-01    21034
1965-09-01    21205
1965-10-01    21496
1965-11-01    21508
1965-12-01    22250
1966-01-01    22357
1966-02-01    21723
1966-03-01    21625
1966-04-01    21892
1966-05-01    21774
1966-06-01    21855
1966-07-01    22321
1966-08-01    21943
1966-09-01    22453
1966-10-01    22639
1966-11-01    22618
1966-12-01    23252
1967-01-01    23692
1967-02-01    23357
1967-03-01    23175
1967-04-01    23265
1967-05-01    23183
1967-06-01    23351
1967-07-01    23857
1967-08-01    23683
1967-09-01    24093
1967-10-01    24537
1967-11-01    24558
1967-12-01    25064
1968-01-01    25589
1968-02-01    25225
1968-03-01    24904
1968-04-01    24938
1968-05-01    24699
1968-06-01    24990
1968-07-01    25521
1968-08-01    25454
1968-09-01    25550
1968-10-01    26195
1968-11-01    26224
1968-12-01    26446
1969-01-01    27339
1969-02-01    26479
1969-03-01    25851
